"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"49",0,1,1,1,0,0,1,1,0,1,0,0,1,0,0
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51",0,1,1,1,0,0,1,1,1,1,0,0,1,0,0
"52",0,1,1,0,1,0,1,1,0,1,0,0,0,0,1
"53",1,1,1,1,1,0,1,1,0,1,0,0,1,1,1
"54",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"55",1,1,1,1,1,0,1,1,1,1,0,0,1,0,1
"56",0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"57",1,1,1,0,0,0,1,1,0,1,0,1,0,0,1
"58",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
"60",1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
"61",0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
"62",0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
"63",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"64",1,1,1,0,0,0,1,1,0,1,0,0,1,1,0
"65",0,1,0,0,0,0,1,1,0,1,0,0,1,1,1
"66",1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
"67",0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
"68",1,1,1,0,0,0,1,1,0,1,0,1,0,1,1
"69",0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
"70",1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
"71",1,0,1,1,0,0,1,1,1,1,1,0,0,0,1
"72",1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
"73",1,0,1,1,0,0,1,0,0,1,0,0,1,0,1
"74",0,1,1,1,0,0,1,1,0,1,0,0,0,0,1
"75",0,1,1,0,0,0,1,0,0,1,0,0,1,0,1
"76",1,1,1,0,1,0,1,1,0,1,0,0,0,0,1
"77",1,1,1,0,1,0,1,0,0,1,0,0,0,0,0
"78",0,1,0,0,0,0,1,0,0,1,1,0,0,1,1
"79",0,1,0,0,0,0,1,1,1,1,0,0,1,1,1
"80",1,0,1,1,1,0,1,1,0,1,0,1,1,0,1
"81",1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
"82",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"83",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"84",1,1,1,0,1,0,1,1,0,1,1,0,1,0,0
"85",0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
"86",1,1,1,0,0,0,0,1,0,1,0,0,1,0,0
"87",1,1,0,1,0,0,0,1,1,1,0,0,0,1,0
"88",0,1,1,0,1,0,1,1,0,1,0,0,1,1,0
"89",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
"90",1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
"91",0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
"92",0,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"93",1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
"94",0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
"95",1,0,1,0,1,0,1,1,0,1,1,0,1,1,1
"96",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"97",1,1,1,1,0,0,1,1,0,1,0,0,1,0,1
"98",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",1,1,1,1,1,0,1,1,0,1,0,0,1,0,1
"100",1,1,0,0,0,0,1,1,0,1,0,1,1,1,1
"101",1,1,0,0,1,0,0,1,1,1,0,0,1,0,1
"102",0,1,1,1,0,0,1,0,0,1,0,0,1,0,1
"103",1,1,0,0,0,0,1,1,1,1,0,0,0,1,0
"104",1,1,0,1,0,0,1,1,0,1,0,0,1,1,1
"105",1,1,1,1,0,0,0,1,0,1,1,0,1,1,0
"106",1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
"107",0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
"108",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"109",0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"110",0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
"111",0,1,0,1,0,0,1,0,0,1,0,0,1,0,1
"112",1,1,1,1,0,0,1,1,0,1,1,0,1,0,1
"113",1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
"114",0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
"115",1,0,0,1,1,0,1,1,0,1,0,1,1,0,0
"116",0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
"117",1,1,1,1,1,0,1,0,0,1,0,0,1,0,1
"118",1,1,1,0,0,0,1,1,0,1,0,0,1,1,1
"119",1,0,1,1,1,1,1,1,0,1,0,0,1,1,1
"120",0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
"121",0,1,0,0,1,0,1,0,0,1,1,0,0,0,1
"122",0,1,1,0,0,0,1,1,1,1,0,0,0,0,0
"123",0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"124",0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"125",1,0,1,0,1,1,1,1,1,1,0,0,1,1,1
"126",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0
"127",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"128",1,1,0,1,1,0,1,1,0,1,0,0,0,0,0
"129",1,1,1,0,1,0,1,1,0,1,0,0,1,1,1
"130",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"131",1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"132",0,1,1,1,1,0,1,1,0,1,0,0,0,0,1
"133",0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"134",0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"135",1,1,0,0,0,0,1,1,1,1,0,0,1,0,1
"136",0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"137",1,0,0,1,1,0,1,1,0,1,1,1,1,1,1
"138",1,1,1,0,1,0,0,0,1,1,1,0,0,1,0
"139",1,0,1,1,1,1,1,1,0,1,1,0,0,0,1
"140",1,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"141",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"142",1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"143",1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
"144",0,1,0,0,0,0,1,1,0,1,0,0,1,1,1
"145",0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
"146",1,1,1,1,0,0,1,1,0,1,0,0,1,1,0
"147",1,1,0,0,1,0,1,1,0,1,0,0,0,1,0
"148",1,1,0,0,0,0,1,1,0,1,0,1,0,1,1
"149",1,0,1,0,1,0,1,1,0,1,0,0,1,1,1
"150",0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
"151",0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
"152",1,1,1,0,1,0,1,1,0,1,0,0,1,0,1
"153",0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
"154",1,0,0,1,0,0,1,1,0,1,1,0,1,0,1
"155",0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"156",0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
"157",1,1,1,1,0,0,0,1,1,1,0,0,1,0,0
"158",0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"159",0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
"160",1,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"161",1,0,1,0,0,0,1,1,0,1,0,0,1,1,1
"162",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"163",1,1,1,1,1,1,1,0,0,1,1,0,1,0,1
"164",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"165",1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
"166",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"167",1,0,1,0,0,0,1,1,1,1,0,0,1,0,1
"168",1,1,1,1,1,1,1,1,0,1,0,0,0,0,1
"169",0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
"170",1,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"171",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"172",1,1,1,1,0,0,1,1,1,1,0,0,1,0,1
"173",0,1,0,0,0,0,1,1,0,1,1,0,1,0,0
"174",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"175",0,1,0,0,0,0,1,1,0,1,0,0,1,0,1
"176",1,1,1,0,0,1,1,1,1,1,0,0,1,1,1
"177",1,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"178",0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
"179",1,0,1,1,1,0,1,1,0,1,1,0,1,1,1
"180",1,0,1,1,0,1,1,1,0,1,1,0,1,1,1
"181",0,1,1,1,0,0,1,1,0,1,0,0,0,0,0
"182",0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
"183",0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
"184",0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
"185",0,1,0,0,0,0,1,1,0,1,0,0,1,0,1
"186",1,1,0,0,0,0,1,1,1,1,1,0,1,0,0
"187",1,1,0,1,0,0,1,1,1,1,0,0,1,0,1
"188",0,1,0,0,0,0,1,1,0,1,0,0,1,0,1
"189",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"190",1,0,1,0,1,1,1,1,0,1,0,0,0,0,1
"191",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
"192",1,0,1,1,0,0,1,1,0,1,0,0,1,1,1
"193",0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
"194",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"195",1,1,0,0,0,0,0,1,0,1,0,0,1,1,1
"196",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"197",1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
"198",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"199",1,1,1,0,0,0,1,1,1,1,0,0,1,0,0
"200",0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
"201",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"202",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"203",0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
"204",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
"205",0,1,0,0,0,0,1,1,0,1,0,1,0,0,1
"206",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"207",0,1,0,0,0,0,1,1,0,1,1,0,1,0,1
"208",1,0,1,1,1,0,1,1,0,1,0,0,1,1,1
"209",1,0,1,0,0,1,0,1,1,1,0,0,1,1,1
"210",1,1,1,0,0,0,1,1,1,1,0,0,1,1,1
"211",0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
"212",1,1,1,0,1,1,1,1,0,0,0,0,1,0,1
"213",0,1,1,0,1,0,1,0,0,1,0,0,1,1,1
"214",1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
"215",1,1,0,1,1,0,0,1,0,1,0,0,0,1,1
"216",0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
"217",1,1,1,0,0,1,1,1,0,1,0,0,1,0,1
"218",1,1,1,0,0,0,1,0,0,1,0,0,1,1,1
"219",0,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"220",0,1,1,0,1,0,1,1,0,1,0,0,1,0,1
"221",0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"222",1,1,1,0,0,0,0,1,0,1,1,0,1,0,0
"223",1,1,1,1,0,0,1,1,0,1,1,0,1,1,0
"224",1,1,1,0,0,0,1,1,1,1,0,0,0,1,1
"225",1,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"226",1,0,1,1,1,0,1,1,0,1,0,0,1,0,1
"227",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"228",1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
"229",0,1,0,0,0,0,1,1,0,1,0,0,1,1,0
"230",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"231",1,1,1,1,0,0,1,1,0,1,0,0,1,0,0
"232",1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
"233",0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"234",0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
"235",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"236",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"237",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"238",1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
"239",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"240",0,1,1,1,1,0,1,1,0,0,0,0,1,0,1
"241",1,1,0,0,1,0,1,1,0,1,1,0,1,0,1
"242",1,0,1,0,0,0,1,0,0,1,0,0,1,1,0
"243",0,1,1,1,0,0,1,1,0,1,0,0,0,0,1
"244",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"245",1,1,1,1,1,0,1,1,1,1,0,0,0,1,1
"246",1,1,1,1,0,0,1,1,0,1,0,0,0,1,1
"247",1,0,0,1,0,1,1,1,1,0,1,0,1,0,1
"248",1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
"249",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"250",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0
"251",1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
"252",0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
"253",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"254",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"255",1,1,1,1,0,0,1,0,0,1,0,0,1,0,1
"256",1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
"257",0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
"258",1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
"259",0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
"260",1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
"261",0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
"262",1,0,1,0,1,0,1,1,1,1,1,0,1,1,1
"263",0,1,1,0,0,0,1,1,0,1,0,0,1,1,1
"264",1,1,0,0,0,0,1,1,1,1,0,0,1,0,1
"265",1,1,1,0,1,0,1,1,1,1,0,0,1,0,0
"266",1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"267",1,0,0,1,0,1,1,1,0,1,0,1,1,1,1
"268",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"269",1,0,1,1,1,0,1,1,0,1,0,0,1,0,1
"270",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"271",1,1,1,0,0,0,1,1,0,1,0,0,1,0,1
"272",1,1,1,1,1,0,1,1,1,0,0,0,1,1,1
"273",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"274",0,1,1,0,1,0,1,1,1,0,1,0,0,0,0
"275",1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
"276",1,0,1,1,0,0,1,1,0,1,0,0,1,1,1
"277",1,1,1,1,0,0,1,1,0,1,0,0,1,0,1
"278",1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
"279",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
"280",0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"281",0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
"282",1,0,1,0,1,1,1,1,1,1,0,0,1,1,1
"283",0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"284",1,0,0,1,1,0,1,1,0,1,1,0,1,1,0
"285",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
"286",0,1,1,0,1,0,1,1,0,1,0,0,0,0,0
"287",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"288",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
"289",0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
"290",0,1,1,0,0,0,1,1,0,1,1,0,0,0,0
"291",1,0,0,1,0,0,1,1,0,1,0,1,1,1,0
"292",0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
"293",1,1,0,0,0,0,1,1,0,1,0,0,0,0,1
"294",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"295",1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
"296",0,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"297",1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
"298",1,1,1,1,0,0,1,1,0,1,0,0,0,0,1
"299",0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"300",1,0,1,0,1,0,1,1,0,1,0,0,1,1,0
"301",1,1,1,1,1,0,1,0,0,1,0,0,1,0,0
"302",1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
"303",1,0,0,1,0,1,1,1,0,1,0,0,1,0,1
"304",1,1,0,0,1,0,1,1,1,1,0,0,1,1,1
"305",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"306",1,1,1,1,1,0,0,0,0,1,0,0,1,0,1
"307",1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
"308",0,1,1,1,0,0,1,0,0,1,0,0,0,0,1
"309",1,0,1,1,1,0,0,1,0,1,1,0,1,0,1
"310",1,0,1,1,0,0,1,1,0,1,0,0,1,1,1
"311",1,1,1,1,0,1,1,1,1,1,0,1,1,0,1
"312",1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
"313",1,1,1,0,0,0,1,1,0,1,0,0,1,0,1
"314",1,0,1,1,0,0,1,0,1,1,1,0,1,1,1
"315",0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"316",1,0,0,0,0,0,1,0,1,1,1,0,1,0,1
"317",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
"318",0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
"319",1,1,1,1,0,0,1,1,0,1,1,0,1,0,1
"320",1,1,1,1,0,0,1,0,0,1,0,0,1,0,1
"321",1,0,1,0,0,0,1,1,0,1,1,1,1,1,1
"322",1,0,1,0,0,0,1,1,0,1,1,0,1,1,1
"323",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"324",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"325",1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
"326",1,1,1,1,0,0,1,0,0,1,0,0,1,0,1
"327",1,1,1,0,0,0,1,1,0,1,0,1,1,1,1
"328",1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
"329",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"330",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"331",1,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"332",0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"333",1,0,1,1,1,0,1,1,0,1,0,0,1,0,1
"334",1,1,1,0,1,0,1,1,1,1,0,0,1,1,1
"335",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"336",1,1,0,0,0,0,1,1,0,1,1,0,1,1,1
"337",0,1,0,0,0,0,1,1,0,1,0,0,1,0,1
"338",0,1,0,1,1,0,1,1,0,1,0,0,0,0,1
"339",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
"340",1,1,1,0,1,0,1,0,0,1,0,0,1,0,1
"341",1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
"342",1,0,1,0,0,0,1,1,0,1,0,0,0,0,1
"343",1,1,1,1,0,0,0,1,0,1,1,0,1,0,1
"344",1,1,1,1,1,0,1,1,0,1,0,0,0,1,1
"345",1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
"346",1,1,1,1,0,0,1,1,1,1,0,1,0,0,1
"347",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"348",1,1,1,1,0,0,1,1,0,1,0,0,0,0,1
"349",1,1,1,1,0,0,1,1,0,1,0,0,1,0,1
"350",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"351",0,0,1,0,1,0,1,1,0,1,0,0,1,0,1
"352",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"353",1,1,1,1,0,0,1,1,0,1,1,1,0,0,1
"354",0,1,1,1,0,0,1,1,0,1,0,0,1,1,0
"355",0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
"356",1,0,1,1,0,0,1,1,0,1,0,0,1,0,1
"357",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"358",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"359",1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
"360",1,1,1,0,1,0,1,1,0,1,0,0,1,0,1
"361",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"362",0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
"363",0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
"364",1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
"365",1,1,1,1,0,0,1,1,0,1,0,0,1,0,1
"366",1,0,1,1,1,0,1,1,0,1,0,0,1,0,1
"367",1,0,1,1,0,1,1,1,0,1,0,0,1,1,0
"368",1,0,1,0,0,1,1,1,1,0,0,0,1,0,1
"369",1,1,1,0,0,0,1,0,0,1,0,0,1,0,1
"370",1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
"371",1,1,1,0,1,0,1,1,0,1,0,0,0,0,0
"372",0,1,1,0,0,0,1,0,0,1,1,0,1,0,1
"373",0,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"374",0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
"375",0,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"376",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"377",1,1,1,0,0,0,1,1,0,1,1,0,1,0,0
"378",1,1,1,0,1,0,1,1,0,1,0,0,0,1,1
"379",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"380",0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
"381",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"382",0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"383",0,1,1,0,1,0,1,0,0,1,1,0,1,0,1
"384",0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
"385",0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
"386",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"387",1,1,1,1,1,0,1,1,0,1,0,0,0,0,1
"388",0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"389",1,0,1,1,0,0,1,1,0,1,0,0,1,0,1
"390",0,1,0,0,0,1,1,1,1,1,0,1,1,0,1
"391",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"392",1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
"393",0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"394",1,0,1,1,0,0,1,1,1,1,1,0,1,1,1
"395",1,1,1,1,0,0,1,1,0,1,0,0,1,0,1
"396",1,1,0,0,0,0,1,1,0,1,0,0,1,0,1
"397",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"398",0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
"399",0,1,1,0,1,0,1,0,0,1,0,0,0,0,0
"400",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"401",1,1,1,0,0,0,1,1,0,1,0,0,1,0,1
"402",0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
"403",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"404",1,1,0,0,1,1,0,1,0,0,0,0,1,0,1
"405",1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
"406",1,0,0,1,0,0,1,1,0,1,0,0,1,0,1
"407",1,1,1,1,1,0,1,1,0,1,0,0,1,1,1
"408",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
"409",1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
"410",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"411",0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
"412",0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
"413",1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
"414",0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
"415",1,1,0,1,0,0,1,0,0,1,0,0,1,0,1
"416",0,1,1,1,0,0,1,1,0,1,0,0,1,0,0
"417",1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
"418",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"419",1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"420",0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
"421",1,1,1,0,0,0,0,1,0,1,1,0,1,1,1
